year,male,female
1982,8.221825,2.359338
1985,6.979319,2.290122
1986,6.713596,2.457144
1987,6.365824,2.208648
1988,6.671018,1.896613
1989,6.791742,2.320746
1990,5.492355,1.723654
1991,5.381773,1.802185
1992,6.691033,1.920067
1994,4.890241,1.400695
1995,6.330423,1.544716
1996,7.206788,1.676831
1997,7.287419,1.523687
1998,5.439614,1.173226
1999,6.903577,1.609125
2000,4.303044,0.8593065
2001,2.974255,0.7854481
2004,2.613620758,0.68989259
1990,20.81387,7.40588
1991,20.90132,7.334742
1992,19.98319,6.838923
1993,19.0396,6.26495
1994,19.34351,6.08572
1995,19.36314,6.169956
1996,18.24104,5.904619
1997,18.34781,5.762719
1998,17.7443,5.249892
1999,16.64838,5.128614
2000,16.49776,4.887512
2001,16.53927,4.835307
2002,16.14433,4.956316
2003,16.07198,4.865662
2004,15.41693,4.446264
2004,7.063313007,5.580263615
1961,5.927289,2.885454
1962,4.428364,2.425727
1963,5.01931,2.585252
1964,4.708868,1.71491
1965,4.482484,2.053422
1966,4.096068,2.242784
1967,4.684091,2.064633
1968,5.258846,1.805746
1969,4.823516,1.958511
1970,4.284171,1.663302
1971,4.533696,1.779856
1972,3.665449,1.318437
1973,3.755845,1.712468
1974,4.304948,2.089513
1975,3.294004,1.838597
1976,3.50562,1.664181
1977,4.309299,1.696307
1978,3.957107,1.44031
1979,3.583891,1.616824
1980,4.301425,1.517045
1981,4.24139,1.785452
1982,4.544026,1.8628
1983,5.077846,1.687741
1984,5.209984,1.950024
1985,5.071703,2.097203
1986,5.24479,1.643898
1987,5.286321,1.848962
1988,5.156341,1.7138
1989,5.02707,1.665641
1990,4.734638,1.262625
1991,4.979847,1.287541
1992,4.566751,1.085906
1993,5.123562,1.538909
1994,4.603834,1.027133
1995,4.981235,0.9652933
1996,4.707526,0.8616472
1997,5.209034,0.7926515
1998,4.837743,1.318808
1999,4.628674,1.221455
2000,4.643847,1.229001
2001,4.372579,0.6871724
2002,3.75316,0.889488
2003,4.567214,1.048374
2004,4.16287,0.9383833
2004,7.362030983,0.343973368
1963,7.147273,0.3510816
1964,6.164508,0.9152728
1965,6.440361,0.497628
1966,5.178927,0.3507546
1967,8.520576,1.054271
1968,7.323934,2.715208
1969,5.571596,1.308517
1970,7.060984,0.9226225
1971,7.08713,1.831857
1977,,0.0757692
1979,3.080571,0.3456988
1980,2.639829,0.5256463
1981,1.346651,0.0820086
1984,1.537492,0.2678788
1986,5.346683,1.022552
1987,5.905004,1.700646
1988,4.59584,0.8226081
1989,3.981843,0.8325154
1990,3.93206,0.7111649
1991,3.784978,0.8570762
1992,4.111893,1.093902
1993,4.049012,0.7572162
1994,3.246903,0.4675907
1995,4.400336,1.151244
1996,3.673022,0.719579
1997,3.540285,0.9284606
1998,3.993678,0.9521694
1999,4.876319,0.833605
2000,3.327062,0.748291
2001,3.707146,0.9213251
2002,4.648741,1.296
2003,4.535077,0.9491554
2004,3.874187,1.167424
2004,9.628465652,5.431053638
2004,10.65297794,4.794747829
2004,50.07269669,21.24728584
2004,2.085222006,1.005262375
2004,9.465991974,4.775053024
1955,29.80989,12.69632
1956,28.8267,11.16879
1957,31.86793,12.20223
1958,33.81632,13.77872
1959,37.93184,13.85482
1960,35.64537,13.98831
1961,36.41035,13.99279
1962,35.4479,13.61258
1963,37.48655,15.26564
1964,40.13111,15.11467
1965,41.3657,15.81352
1966,40.384,15.64082
1967,43.31554,15.6902
1968,46.6862,15.97417
1969,45.46218,15.77956
1970,47.39413,15.99266
1971,48.45286,17.12012
1972,49.40269,17.37899
1973,49.3895,16.99369
1974,53.98055,18.6133
1975,51.09961,17.40216
1976,52.82116,18.89012
1977,50.7207,19.96113
1978,55.56526,21.01015
1979,58.49247,20.91629
1980,59.33003,21.00696
1981,58.30769,22.75861
1982,56.75191,20.2928
1983,61.19543,20.97707
1984,61.69685,19.90151
1985,61.04953,17.93445
1986,59.7834,20.27017
1987,59.69981,19.99391
1988,52.35113,20.06003
1989,55.20204,17.6153
1990,53.53568,16.15175
1991,51.6224,15.35198
1992,52.8314,14.68765
1993,48.6875,13.48357
1994,48.54348,12.38292
1995,43.73508,11.98233
1996,44.25144,11.87498
1997,41.93054,10.7454
1998,43.28421,10.44197
1999,45.66346,10.64106
2000,43.9828,10.67224
2001,39.56583,9.227195
2002,38.08537,8.776537
2003,36.93882,8.222026
2004,35.98394,8.70322
2004,16.97234535,5.842729092
2004,22.67622375,14.30644226
2004,13.73718452,9.29459095
2004,6.884473324,5.179065228
2004,25.53655815,8.3937397
1950,4.257815,0.8519407
1951,4.003328,1.147528
1952,3.379071,0.8795826
1953,3.312277,0.8431673
1954,3.295372,0.7177907
1955,3.693148,1.028455
1956,4.446795,0.8246769
1957,3.893486,1.061786
1958,4.123925,1.196178
1959,3.956746,1.156083
1960,4.069189,1.646138
1961,5.203468,1.351529
1962,2.9876,0.8145017
1963,3.79027,1.372869
1964,3.54006,0.6879103
1965,3.147818,0.4480566
1966,3.492746,1.147462
1967,3.72761,1.278857
1968,4.147193,1.159696
1969,2.67232,0.9921009
1970,3.140356,0.5851788
1971,4.504058,1.637786
1972,4.594031,1.837284
1973,5.228618,2.035601
1974,6.608761,1.915172
1975,7.340617,3.126245
1976,8.450701,3.551923
1977,6.463584,3.664815
1978,7.106894,3.678854
1979,8.901459,3.02496
1980,9.243445,4.751621
1981,10.07419,4.323764
1982,10.92324,3.911616
1983,12.13038,4.951054
1984,9.854288,4.182046
1985,12.77354,3.596939
1986,12.74405,4.133846
1987,10.98195,3.492118
1988,11.45554,4.315279
1989,12.67582,3.673987
1990,15.01642,4.983715
1991,16.62988,3.663033
1992,17.709,3.235636
1993,14.81147,3.840218
1994,17.2518,4.877121
1995,17.80962,4.634556
1996,19.13942,3.451479
1997,20.39075,4.644797
1998,22.60519,3.808829
1999,17.90702,4.180132
2000,19.55845,4.057105
2001,20.49142,3.919842
2002,17.99144,3.920538
2003,17.11528,4.490198
2004,18.39432,3.41769
1975,9.721979,7.104736
1976,10.23713,5.999494
1977,9.466992,5.092841
1978,7.473373,5.041726
1979,10.13976,4.918262
1980,9.003123,4.146507
1981,7.551185,4.065509
1982,7.172948,4.224372
1983,9.083196,4.039836
1984,8.202235,3.747314
1985,8.362223,3.690757
1986,9.488293,4.69941
1987,9.961658,3.622077
1988,10.92935,4.246885
1989,12.22323,4.53929
1990,10.51637,3.713322
1991,11.64511,3.96209
1992,11.78218,4.04869
1993,11.1531,3.676736
1994,12.14614,4.021978
1995,10.02298,3.420748
1996,8.548947,2.505053
1997,10.8282,2.420717
1998,8.452549,2.555491
1999,10.25614,2.140876
2000,10.1516,2.617903
2001,10.45698,2.144401
2002,9.318308,2.672714
2003,10.95199,2.055687
2004,9.827754,2.572143
1951,10.56834,3.403254
1952,9.419112,3.411496
1953,9.245553,3.762159
1954,8.714149,3.424151
1955,9.726276,3.538924
1956,9.809807,3.559867
1957,9.338222,3.571236
1958,8.800449,3.459091
1959,8.862763,3.471756
1960,8.415583,3.44536
1961,7.635857,3.123026
1962,7.558838,2.932354
1963,7.125845,2.96182
1964,7.526105,2.867537
1965,7.641454,2.884943
1966,7.119586,2.762205
1967,7.635119,2.915639
1968,7.370347,2.851062
1969,7.380798,3.004217
1970,7.639218,3.126643
1971,7.915759,3.277322
1972,7.756282,3.193547
1973,7.658402,2.919297
1974,6.800586,3.024318
1975,7.211964,2.959525
1976,7.248129,2.989021
1977,8.112815,3.151382
1978,8.449119,3.165382
1979,8.912259,3.547825
1980,9.027985,3.782305
1981,8.725601,3.317748
1982,9.486133,3.507519
1983,9.647466,3.411837
1984,9.777494,3.606211
1985,10.40558,3.607491
1986,10.08643,3.607199
1987,9.914082,3.184254
1988,9.319981,3.258729
1989,9.314838,3.138868
1990,9.345504,3.135413
1991,9.380347,3.152732
1992,9.862364,3.063648
1993,10.31449,2.962984
1994,9.949718,2.843028
1995,9.913965,2.829177
1996,10.01252,3.056394
1997,10.06849,2.875446
1998,9.703516,2.616057
1999,8.712358,2.522697
2000,8.631232,2.567187
2001,8.530973,2.386306
2002,8.725682,2.270674
2003,8.375617,2.393229
2004,8.633946419,2.270322323
2004,6.62351799,2.366206169
1950,31.45158,18.59102
1951,27.70041,17.54239
1952,27.01533,17.70802
1953,29.35856,18.70844
1954,33.76961,19.78119
1955,35.86554,20.92908
1956,34.07982,21.07244
1957,33.22283,20.5632
1958,34.02403,21.98324
1959,29.81942,19.97823
1960,27.69466,19.14574
1961,24.9089,17.79087
1962,22.75598,15.54236
1963,21.05968,13.9991
1964,19.49205,13.43369
1965,19.2796,12.77739
1966,19.15462,13.45667
1967,17.67402,12.42193
1968,17.8174,12.68101
1969,17.68238,12.70211
1970,18.47334,13.086
1971,18.70253,13.03017
1972,20.30243,13.86707
1973,20.90846,14.20149
1974,20.67025,14.47614
1975,21.86653,13.86057
1976,21.39705,13.31338
1977,22.09973,12.90554
1978,21.96293,12.39004
1979,22.31732,12.38469
1980,21.80097,11.75796
1981,21.24925,10.92085
1982,21.64479,10.8324
1983,27.17256,11.59852
1984,25.70048,11.28145
1985,23.95406,10.91748
1986,25.33022,12.34518
1987,23.01839,11.12482
1988,21.18935,10.79308
1989,18.92735,10.15297
1990,17.74604,9.448299
1991,17.65038,8.853615
1992,18.8061,8.678051
1993,18.57446,8.09518
1994,19.17557,7.945656
1995,19.12862,8.228492
1996,19.65229,8.221194
1997,20.748,8.525414
1998,28.77222,10.53238
1999,28.70927,10.07857
2000,27.44144,9.527674
2001,26.51388,9.240021
2002,27.18034,9.138422
2003,29.66257,9.884797
2004,27.8544,9.467574
2004,0.283630043,0.107823528
1981,43.73993,10.70737
1982,43.36837,9.850085
1985,43.08025,10.27528
1986,30.60717,8.818217
1987,30.14775,8.599585
1988,31.31172,8.853513
1989,36.04646,9.610785
1990,34.24866,9.613778
1991,32.9904,8.350544
1992,35.02348,9.367308
1993,43.27874,9.806592
1994,45.19965,9.40272
1995,54.65893,9.738996
1996,57.25686,9.888084
1997,55.88801,9.658834
1998,54.42282,9.566568
1999,50.25275,8.703578
2001,55.28642,8.500433
2002,52.35789,8.623614
2003,52.60995,8.66642
2004,51.95907,8.599231
2004,14.45754814,7.663258076
1972,0.3662237,0.2315013
1975,0.7020963,0.2027273
1976,0.199697,0.1818349
1977,0.5481814,
1978,1.576248,0.7486228
1979,0.5554316,
1980,1.150244,0.4587432
1981,1.03524,1.228961
1982,0.0958275,0.1885224
1983,0.5089404,0.2795371
1984,0.6880475,0.6097794
1985,1.531896,0.3615558
1986,1.000153,0.4981179
1987,0.9669989,1.079387
1993,1.402896,0.8018389
1994,1.290962,1.649444
1995,1.831903,0.7495468
1996,1.579613,1.267969
1997,1.331465,2.075491
1998,1.152141,1.519149
1999,1.761245,1.15032
2000,1.265265,1.210588
2001,1.369139,0.7647457
2002,1.756376,1.27791
2004,1.716213107,1.153894782
1981,28.58997,7.50064
1982,29.45564,6.34895
1985,24.69476,7.063722
1986,18.85769,5.368869
1987,22.1455,7.401427
1988,22.76744,6.957907
1989,24.00299,7.492762
1990,25.39453,7.92241
1991,24.91979,7.180477
1992,23.53008,5.318038
1993,27.44796,6.514298
1994,29.95315,4.828927
1995,28.3238,7.441998
1996,23.81844,4.41672
1997,23.19876,4.538289
1998,22.62856,4.220627
1999,23.91368,4.674402
2000,21.69134,4.435472
2001,23.63354,3.433721
2002,22.53675,4.70046
2003,19.15894,3.463841
2004,17.17582,3.090236
2004,29.02600861,23.7233696
1980,51.12757,11.88666
1981,54.29832,10.81198
1982,51.78666,12.86586
1983,52.43972,11.15093
1984,53.00053,11.39347
1985,45.49139,10.6231
1986,38.77306,8.832312
1987,32.40071,10.62801
1988,34.17647,9.422872
1989,36.23455,11.68672
1990,41.49391,8.305492
1991,43.92165,9.872416
1992,54.53308,11.43828
1993,67.03622,13.42937
1994,65.94627,11.25131
1995,64.98832,11.79434
1996,58.97634,10.75871
1997,56.41026,10.56331
1998,54.36982,10.02606
1999,47.12212,10.01683
2000,50.59778,8.682847
2002,43.02149,8.689015
2003,39.45029,7.310288
2004,36.66391,6.048817
2004,6.463245392,5.278940678
2004,10.65846539,5.889326096
2004,10.86085796,3.77520299
2004,5.09806776,4.159276009
1981,59.5271,9.391936
1982,57.98292,10.94309
1985,57.3445,11.62064
1986,41.92893,8.948446
1987,48.08079,9.742769
1988,41.86627,10.22528
1989,45.26484,8.518539
1990,43.23142,8.18327
1991,51.08331,10.01307
1992,56.6729,11.65289
1993,72.05504,12.01923
1994,80.42894,11.82504
1995,77.84416,13.48254
1996,78.36723,14.54227
1997,76.52863,12.66714
1998,72.58926,11.8952
1999,73.37201,11.7318
2000,75.07941,13.98588
2001,71.12936,12.04878
2002,74.2965,10.12422
2003,67.59232,11.06494
2004,63.30873,11.23422
2004,19.57855034,5.768095493
1991,10.34967,5.264551
1992,9.974013,5.215999
1993,10.00163,5.450121
1994,8.331466,4.786742
1995,8.760571,4.383663
1996,10.43821,4.035392
1997,11.31281,3.823972
1998,9.417238,5.2374
1999,11.20772,4.723891
2000,9.676953,4.055635
2001,10.42244,3.230196
2002,9.458357,4.228063
2003,8.966763,3.42506
2004,12.57811737,3.403936386
2004,7.469148636,4.220290184
2004,14.21405125,6.541824818
2004,11.24002647,5.219151974
2004,24.83204079,19.88921928
2004,12.14257908,5.074855328
2004,6.397085667,2.803545952
2004,7.452305794,7.016569614
2004,8.99184227,4.997253418
1961,8.109496,0.8261023
1962,4.714847,0.9853638
1963,6.914414,0.6893913
1964,6.4175,1.376559
1965,9.672784,0.7797109
1966,8.486679,2.230799
1967,5.040606,1.89526
1968,4.105849,1.699673
1969,3.315053,0.234245
1970,3.976964,0.8703529
1971,7.430753,2.449282
1972,4.729221,1.042842
1973,12.32525,4.143795
1974,7.918767,2.354944
1975,12.88013,4.791313
1976,8.530642,5.306667
1977,9.382297,3.497532
1978,13.34285,3.660588
1979,12.43535,3.85744
1980,6.507028,
1981,2.273843,1.682621
1982,3.131053,0.7379744
1983,1.766145,1.874342
1984,15.18018,9.486123
1985,14.71901,7.364926
1986,3.849217,1.337873
1987,18.45087,10.09053
1988,24.74358,10.14206
1989,22.54805,7.237272
1990,19.33844,10.16941
1991,18.88888,8.037538
1992,20.53346,8.41322
1993,18.11204,8.027224
1994,19.3467,3.82664
1995,22.02524,6.123081
1996,21.04854,6.467022
1997,18.15487,3.519147
1998,19.75582,6.959721
1999,19.72894,8.945867
2000,18.36972,4.995429
2001,13.11333,6.136876
2002,17.32174,4.66105
2003,10.97633,3.985688
2004,12.40219,3.52988
1955,2.442184,0.7036235
1956,3.054957,1.010261
1957,3.093501,1.000293
1958,3.744399,1.090594
1959,4.117249,1.153708
1960,3.810233,1.267063
1961,3.786989,0.9837637
1962,3.753606,0.7359514
1963,3.94489,1.070004
1964,3.859069,1.06657
1965,3.520888,1.139985
1966,3.498576,1.055895
1967,4.198729,1.275057
1968,3.522933,0.8262541
1969,1.750028,0.2955154
1970,2.704732,0.5537056
1971,1.672822,0.3251885
1972,1.668862,0.3462555
1973,1.54622,0.3002614
1974,4.694814,0.9812592
1975,3.877176,0.7468019
1976,3.485934,0.7708514
1977,4.002292,0.8056478
1978,3.61315,0.8383937
1979,3.385037,0.7557345
1980,2.958694,0.6704537
1981,3.611081,0.8834986
1982,3.569586,0.8242058
1983,3.16798,0.7340415
1984,2.735613,0.4477717
1985,4.388904,0.7602599
1986,4.931581,0.7355883
1987,4.761468,0.8270538
1988,4.675809,0.7707267
1989,5.103009,0.8070925
1990,5.159819,0.7400703
1991,5.271922,0.8179485
1992,5.644625,0.850549
1993,5.828907,0.8181823
1994,6.185221,0.9178948
1995,6.563968,0.9948026
1996,6.434082,1.055193
1997,6.783051,1.104328
1998,6.607656,1.03723
1999,6.469207,1.020981
2000,6.586875,1.06394
2001,6.934207,1.325666
2002,6.927197,1.274557
2003,7.313923,1.343468
2004,7.273506,1.295992
2004,4.994344711,4.526386261
1981,31.79197,10.5142
1982,33.56363,10.14406
1985,34.78332,9.151825
1986,29.58637,9.944036
1987,25.8159,9.799662
1988,26.58922,8.88693
1989,28.17586,8.246838
1990,25.35026,6.287681
1991,27.13063,8.331331
1992,27.22224,6.45459
1993,28.77981,6.722978
1994,31.21967,7.346989
1995,31.1594,7.698922
1996,31.53888,5.795405
1997,30.08745,5.846859
1998,27.69531,5.669214
1999,28.15378,4.727281
2000,26.76741,3.701661
2001,29.66905,4.849782
2002,27.17534,4.689592
2003,29.75085,4.040868
2004,27.48099,4.56739
2004,16.13042831,6.649781227
2004,21.09290123,5.467162132
2004,2.114463806,2.103894472
2004,14.27197266,7.518768787
2004,11.88899899,8.503791809
2004,10.43633842,6.017440796
2004,,7.383360386
2004,12.46957016,11.0800848
1950,8.039651,3.744579
1951,8.482972,4.227506
1952,8.698343,4.422934
1953,9.010217,4.562708
1954,8.812166,4.202166
1955,7.916481,4.493865
1956,7.391158,4.742193
1957,7.700355,5.203328
1958,8.729427,4.85878
1959,8.965101,5.18896
1960,8.495128,4.930501
1961,8.769533,4.54734
1962,8.121627,5.07273
1963,8.018279,4.33125
1964,8.375566,4.747222
1965,8.748899,4.985938
1966,9.091191,5.025103
1967,8.141103,4.292456
1968,7.997426,4.444892
1969,9.161488,5.425861
1970,9.999104,5.844768
1971,9.85916,6.256476
1972,10.01003,6.132082
1973,9.965838,7.13018
1974,10.98987,7.009837
1975,10.67603,6.755897
1976,11.74353,6.569001
1977,11.35804,6.404231
1978,10.81731,7.609007
1979,11.42149,8.34603
1980,12.25749,6.768595
1981,11.62244,7.055374
1982,12.28275,7.512334
1983,13.58843,8.236408
1984,14.05566,8.413709
1985,13.42081,7.089713
1986,12.60984,7.230734
1987,12.37732,7.297407
1988,11.90292,6.42893
1989,11.62136,6.523096
1990,10.99034,6.01471
1991,12.30201,6.40885
1992,12.19641,6.017884
1993,11.95048,5.763029
1994,12.48828,5.500875
1995,11.48045,5.538633
1996,11.84606,5.657825
1997,12.00938,5.608297
1998,11.37566,5.297546
1999,11.32623,5.338056
2000,11.08765,5.102808
2001,10.94884,4.81331
2002,11.49452,5.074299
2003,10.90696,4.740516
2004,10.90343,4.820316
1950,13.89064,4.481789
1951,14.91607,4.672656
1952,15.44309,5.083133
1953,14.08076,5.456119
1954,13.28927,4.08312
1955,13.36108,4.86399
1956,12.77258,6.256191
1957,14.48438,5.678879
1958,15.47747,5.049273
1959,14.46098,4.172358
1960,15.0164,5.637225
1961,13.98603,4.213583
1962,12.55061,5.705343
1963,13.5933,7.09114
1964,10.69769,6.523703
1965,13.44075,6.486658
1966,12.77665,7.067789
1967,15.63173,6.267512
1968,14.34453,6.611498
1969,14.42566,7.370731
1970,13.80316,6.69521
1971,11.45277,6.462817
1972,12.8555,6.371082
1973,13.34896,5.389634
1974,13.4118,5.982979
1975,13.81855,6.664862
1976,13.45243,6.122365
1977,17.74372,7.341437
1978,13.92594,7.50095
1979,14.39595,5.64398
1980,14.81399,7.007597
1981,15.79176,4.823435
1982,16.25312,6.611544
1983,15.45569,6.228209
1984,18.31777,5.417628
1985,15.46376,4.880707
1986,18.28667,6.580908
1987,21.75726,5.825074
1988,22.54321,5.668206
1989,22.05261,5.311521
1990,21.46452,5.137218
1991,21.63859,5.128064
1992,22.40842,5.231815
1993,19.34185,4.999377
1994,22.47202,5.328048
1995,23.36297,6.067229
1996,22.9649,5.941496
1997,23.70467,6.336947
1998,23.57084,6.807942
1999,20.3601,6.696422
2000,19.92565,4.168914
2001,20.36251,5.886771
2002,18.08962,5.621368
2003,18.50447,6.62168
2004,18.7397,5.336744
2004,19.36138535,5.211092949
2004,13.03199673,5.039722919
2004,10.24538708,5.225975037
2004,4.736305237,3.615885019
2004,5.744086266,3.947198868
1951,9.586143,2.511076
1952,9.674347,3.233227
1953,10.26842,3.739577
1954,11.47895,2.320111
1955,10.91266,2.835984
1956,11.01718,2.458401
1957,10.88116,2.591909
1958,10.88523,2.396795
1959,10.94218,3.491517
1960,9.923195,2.268944
1961,10.12493,2.481758
1962,11.8351,2.784527
1963,10.9406,3.785133
1964,10.57239,2.76714
1965,11.25852,3.257871
1966,9.917175,3.103798
1967,9.680084,3.112187
1968,11.62396,3.539284
1969,12.2322,3.067463
1970,11.31155,4.704581
1971,11.69867,3.96741
1972,12.30194,4.859923
1973,12.6014,3.832234
1974,15.68005,4.290132
1975,13.57743,5.209936
1976,15.16921,5.316265
1977,16.34398,5.847558
1978,16.50862,5.967258
1979,16.30507,6.941861
1980,17.19674,6.125055
1981,18.20749,6.097747
1982,19.63434,7.106333
1983,20.02865,7.45241
1984,20.25437,6.493855
1985,19.7182,7.075398
1986,19.11323,6.891037
1987,21.47536,7.194898
1988,22.80284,8.539811
1989,20.99599,7.523332
1990,21.06987,7.021215
1991,21.73295,7.08075
1992,19.269,6.815001
1993,19.00583,5.635677
1994,16.54569,6.18733
1995,17.49037,5.659612
1996,16.32568,5.425931
1997,16.12466,5.889028
1998,17.13272,6.086514
1999,18.41498,6.462259
2000,17.4731,5.419983
2001,16.88968,5.784705
2002,14.7379,5.360832
2003,15.48331,5.2304
2004,14.72305,6.822908
2004,5.770564079,0.510549843
2004,12.80295563,13.0262146
2004,6.420404434,4.798904896
1984,2.677613,0.5404561
1985,4.880816,1.320754
1986,7.453704,1.417001
1987,7.03057,2.05939
1988,6.491446,1.931315
1989,5.891897,0.8963737
1996,7.942142,1.198894
1997,9.672293,1.678765
1998,9.496749,1.868072
1999,9.451866,1.375172
2000,9.406568,1.323197
2001,9.974922,1.664682
2002,9.449,2.152816
2003,12.00731,1.405318
2004,10.25313,2.161664
2004,13.90877914,9.99246788
1994,4.584146,1.436651
1995,4.374225,1.499484
1996,3.474399,1.304838
1997,3.944752,1.73492
1998,4.748592,1.782107
1999,4.835973,2.292752
2000,4.807024,1.923762
2001,4.397122,2.041138
2002,4.405669,2.415609
2003,5.352427,1.44981
